category_id,category_label,subcategory_id,subcategory_label,name,template_id,width,height,price,mass,name_source,confidence
1,"Firearm",1,"Assault Rifle","1A4M",42890513-9735-433e-a391-777ff7a6d95f,2,1,4800,3.8,Items_en.m_TableData,high
1,"Firearm",1,"Assault Rifle","ETA 417",51828e8c-020e-4aec-a67b-7ed9ac167f50,2,1,14880,4.5,Items_en.m_TableData,high
1,"Firearm",1,"Assault Rifle","Herstal SH",6d4728cf-8d56-4003-8403-110491e57bbb,2,1,9121,3.7,Items_en.m_TableData,high
1,"Firearm",1,"Assault Rifle","KA74",1f468bc7-0720-4e18-82b8-7fc3e51150ae,2,1,4860,3.4,Items_en.m_TableData,high
1,"Firearm",1,"Assault Rifle","MA17",aa46aecd-340a-4bba-abc8-adf716b258f8,2,1,11879,3.4,Items_en.m_TableData,high
1,"Firearm",1,"Assault Rifle","SK99AA",2c3eddac-b0d6-4d90-9d8e-67a78ba9d514,2,1,7019,4.2,Items_en.m_TableData,high
1,"Firearm",2,"Pistol","Gaston 17",0512b4bf-1eec-4818-a314-510e08bda0a1,2,1,1146,0.4,Items_en.m_TableData,high
1,"Firearm",2,"Pistol","Herstal 57",f1b40f91-e51f-4136-9962-6c9f46f082df,2,1,2129,0.6,Items_en.m_TableData,high
1,"Firearm",2,"Pistol","Krueger Adios",becd9038-d776-4851-af65-9e1bc6e20b70,2,1,11700,1.0,Items_en.m_TableData,high
1,"Firearm",2,"Pistol","Sam M1911",76380735-2325-421d-9c3b-6e141468af77,2,1,1310,0.5,Items_en.m_TableData,high
1,"Firearm",2,"Pistol","Sam M1911 EMERKIT",424d0295-841d-48c4-b438-61d38b5c3737,2,1,1048,0.5,Items_en.m_TableData,high
1,"Firearm",2,"Pistol","Saurus",67ef3f12-ad89-4cf2-89d5-1f1fcded472c,2,1,5541,1.0,Items_en.m_TableData,high
1,"Firearm",2,"Pistol","SPS",9551ed48-b7ec-4802-8337-e87ad14972c9,2,1,6175,0.2,Items_en.m_TableData,high
1,"Firearm",2,"Pistol","STR38",2db4eea3-353a-4837-a78a-8dd8a5178341,2,1,6630,0.9,Items_en.m_TableData,high
1,"Firearm",3,"SMG","EMERKIT SMG",657fd384-bb66-4431-b441-17285982931c,2,1,3000,2.5,Items_en.m_TableData,high
1,"Firearm",3,"SMG","ETA 45",a64c41e9-862d-4187-a274-fd2935c7cdad,2,1,3600,2.6,Items_en.m_TableData,high
1,"Firearm",3,"SMG","ETA 5",d6cd9825-b541-45c6-aea4-4391cd8bdb9f,2,1,3300,2.5,Items_en.m_TableData,high
1,"Firearm",3,"SMG","PRO90",d0cd10dc-99f1-47de-937c-579323c91ada,3,1,5941,1.8,Items_en.m_TableData,high
1,"Firearm",4,"Shotgun","DORA",1a9635ee-bc97-4986-bc2e-4e967375ccaa,2,1,5941,3.0,Items_en.m_TableData,high
1,"Firearm",4,"Shotgun","Gesterby",4f8bad65-fabb-4ef2-9aca-74952951d0c6,6,1,6500,4.0,Items_en.m_TableData,high
